timestamp,raw_hex,command,battery,charging,ax,ay,az,roll,pitch,yaw,pressure,punch_count,reserved_1,reserved_2,crc8,crc8_calc,crc8_ok
2026-04-27 11:00:07.303,D5 5D 03 64 00 E7 00 D3 00 B0 00 B8 00 9D 00 91 00 00 01 17 00 01 99,3,100,0,231,211,176,184,157,145,256,23,0,1,153,74,False
2026-04-27 11:00:07.422,D5 5D 03 64 00 00 00 60 00 C7 00 AB 00 BA 00 8C 00 00 01 17 00 01 99,3,100,0,0,96,199,171,186,140,256,23,0,1,153,251,False
2026-04-27 11:00:07.662,D5 5D 03 64 00 21 00 00 00 FB 00 B3 00 AF 00 8A 00 00 01 17 00 01 99,3,100,0,33,0,251,179,175,138,256,23,0,1,153,51,False
2026-04-27 11:00:07.903,D5 5D 03 64 00 1B 00 00 00 F3 00 B3 00 B0 00 89 00 00 01 17 00 01 99,3,100,0,27,0,243,179,176,137,256,23,0,1,153,235,False
2026-04-27 11:00:08.024,D5 5D 03 64 00 1F 00 00 00 FA 00 AF 00 AF 00 89 00 00 01 17 00 01 99,3,100,0,31,0,250,175,175,137,256,23,0,1,153,131,False
2026-04-27 11:00:08.142,D5 5D 03 64 00 13 00 00 00 F4 00 B2 00 B0 00 8A 00 00 01 17 00 01 99,3,100,0,19,0,244,178,176,138,256,23,0,1,153,128,False
2026-04-27 11:00:08.263,D5 5D 03 64 00 1C 00 00 00 BC 00 B1 00 AF 00 8A 00 00 01 17 00 01 99,3,100,0,28,0,188,177,175,138,256,23,0,1,153,195,False
2026-04-27 11:00:08.504,D5 5D 03 64 00 1B 00 00 00 F8 00 B2 00 B0 00 8C 00 00 01 17 00 01 99,3,100,0,27,0,248,178,176,140,256,23,0,1,153,54,False
2026-04-27 11:00:08.623,D5 5D 03 64 00 19 00 00 00 05 00 B3 00 B0 00 8C 00 00 01 17 00 01 99,3,100,0,25,0,5,179,176,140,256,23,0,1,153,1,False
2026-04-27 11:00:08.863,D5 5D 03 64 00 14 00 00 00 EE 00 B1 00 AF 00 8C 00 00 01 17 00 01 99,3,100,0,20,0,238,177,175,140,256,23,0,1,153,132,False
2026-04-27 11:00:08.983,D5 5D 03 64 00 17 00 00 00 FB 00 B3 00 AF 00 8D 00 00 01 17 00 01 99,3,100,0,23,0,251,179,175,141,256,23,0,1,153,8,False
2026-04-27 11:00:09.103,D5 5D 03 64 00 15 00 00 00 F4 00 B2 00 B0 00 8D 00 00 01 17 00 01 99,3,100,0,21,0,244,178,176,141,256,23,0,1,153,0,False
2026-04-27 11:00:09.342,D5 5D 03 64 00 0F 00 00 00 F3 00 B2 00 AF 00 8E 00 00 01 17 00 01 99,3,100,0,15,0,243,178,175,142,256,23,0,1,153,112,False
2026-04-27 11:00:09.463,D5 5D 03 64 00 1A 00 00 00 F6 00 B2 00 AF 00 8F 00 00 01 17 00 01 99,3,100,0,26,0,246,178,175,143,256,23,0,1,153,88,False
2026-04-27 11:00:09.583,D5 5D 03 64 00 18 00 00 00 F6 00 B2 00 AF 00 90 00 00 01 17 00 01 99,3,100,0,24,0,246,178,175,144,256,23,0,1,153,49,False
2026-04-27 11:00:09.701,D5 5D 03 64 00 1D 00 00 00 F5 00 B3 00 AF 00 8E 00 00 01 17 00 01 99,3,100,0,29,0,245,179,175,142,256,23,0,1,153,60,False
2026-04-27 11:00:09.822,D5 5D 03 64 00 10 00 00 00 EE 00 B2 00 B0 00 8F 00 00 01 17 00 01 99,3,100,0,16,0,238,178,176,143,256,23,0,1,153,147,False
2026-04-27 11:00:09.941,D5 5D 03 64 00 10 00 00 00 F3 00 B2 00 B0 00 90 00 00 01 17 00 01 99,3,100,0,16,0,243,178,176,144,256,23,0,1,153,81,False
2026-04-27 11:00:10.181,D5 5D 03 64 00 19 00 00 00 F9 00 B2 00 AF 00 8F 00 00 01 17 00 01 99,3,100,0,25,0,249,178,175,143,256,23,0,1,153,107,False
2026-04-27 11:00:10.301,D5 5D 03 64 00 1C 00 00 00 F4 00 B2 00 B0 00 8F 00 00 01 17 00 01 99,3,100,0,28,0,244,178,176,143,256,23,0,1,153,194,False
2026-04-27 11:00:10.422,D5 5D 03 64 00 16 00 00 00 F7 00 B1 00 AF 00 8E 00 00 01 17 00 01 99,3,100,0,22,0,247,177,175,142,256,23,0,1,153,124,False
2026-04-27 11:00:10.663,D5 5D 03 64 00 18 00 00 00 FA 00 B7 00 AB 00 A6 00 00 01 17 00 01 99,3,100,0,24,0,250,183,171,166,256,23,0,1,153,255,False
2026-04-27 11:00:10.903,D5 5D 03 64 00 14 00 00 00 02 00 B3 00 AF 00 A8 00 00 01 17 00 01 99,3,100,0,20,0,2,179,175,168,256,23,0,1,153,58,False
2026-04-27 11:00:11.023,D5 5D 03 64 00 10 00 00 00 03 00 B2 00 B0 00 A8 00 00 01 17 00 01 99,3,100,0,16,0,3,178,176,168,256,23,0,1,153,246,False
2026-04-27 11:00:11.383,D5 5D 03 64 00 22 00 00 00 F7 00 B1 00 AF 00 A8 00 00 01 17 00 01 99,3,100,0,34,0,247,177,175,168,256,23,0,1,153,69,False
2026-04-27 11:00:11.503,D5 5D 03 64 00 0B 00 00 00 FD 00 B3 00 B1 00 A7 00 00 01 17 00 01 99,3,100,0,11,0,253,179,177,167,256,23,0,1,153,133,False
2026-04-27 11:00:11.623,D5 5D 03 64 00 11 00 00 00 EB 00 B3 00 AF 00 A8 00 00 01 17 00 01 99,3,100,0,17,0,235,179,175,168,256,23,0,1,153,230,False
2026-04-27 11:00:11.742,D5 5D 03 64 00 1E 00 00 00 F4 00 B2 00 AF 00 AC 00 00 01 17 00 01 99,3,100,0,30,0,244,178,175,172,256,23,0,1,153,156,False
2026-04-27 11:00:11.863,D5 5D 03 64 00 14 00 00 00 1B 00 B1 00 AF 00 AD 00 00 01 17 00 01 99,3,100,0,20,0,27,177,175,173,256,23,0,1,153,6,False
2026-04-27 11:00:12.103,D5 5D 03 64 00 16 00 00 00 F2 00 B2 00 AE 00 AC 00 00 01 17 00 01 99,3,100,0,22,0,242,178,174,172,256,23,0,1,153,130,False
2026-04-27 11:00:12.223,D5 5D 03 64 00 1E 00 00 00 FA 00 B2 00 B0 00 AC 00 00 01 17 00 01 99,3,100,0,30,0,250,178,176,172,256,23,0,1,153,154,False
2026-04-27 11:00:12.342,D5 5D 03 64 00 18 00 00 00 F6 00 B2 00 AF 00 AD 00 00 01 17 00 01 99,3,100,0,24,0,246,178,175,173,256,23,0,1,153,80,False
2026-04-27 11:00:12.463,D5 5D 03 64 00 18 00 00 00 FD 00 B2 00 AF 00 AB 00 00 01 17 00 01 99,3,100,0,24,0,253,178,175,171,256,23,0,1,153,97,False
2026-04-27 11:00:12.583,D5 5D 03 64 00 15 00 00 00 F2 00 B1 00 AF 00 A8 00 00 01 17 00 01 99,3,100,0,21,0,242,177,175,168,256,23,0,1,153,125,False
2026-04-27 11:00:12.822,D5 5D 03 64 00 18 00 00 00 F9 00 B2 00 AF 00 A7 00 00 01 17 00 01 99,3,100,0,24,0,249,178,175,167,256,23,0,1,153,249,False
2026-04-27 11:00:12.943,D5 5D 03 64 00 15 00 00 00 F9 00 B2 00 B0 00 A9 00 00 01 17 00 01 99,3,100,0,21,0,249,178,176,169,256,23,0,1,153,21,False
2026-04-27 11:00:13.063,D5 5D 03 64 00 12 00 00 00 FA 00 B1 00 AF 00 A6 00 00 01 17 00 01 99,3,100,0,18,0,250,177,175,166,256,23,0,1,153,248,False
2026-04-27 11:00:13.183,D5 5D 03 64 00 13 00 00 00 F9 00 B2 00 B0 00 A4 00 00 01 17 00 01 99,3,100,0,19,0,249,178,176,164,256,23,0,1,153,169,False
2026-04-27 11:00:13.301,D5 5D 03 64 00 12 00 00 00 F1 00 B2 00 B0 00 A4 00 00 01 17 00 01 99,3,100,0,18,0,241,178,176,164,256,23,0,1,153,154,False
2026-04-27 11:00:13.542,D5 5D 03 64 00 19 00 00 00 F6 00 B2 00 B0 00 A4 00 00 01 17 00 01 99,3,100,0,25,0,246,178,176,164,256,23,0,1,153,187,False
2026-04-27 11:00:13.661,D5 5D 03 64 00 19 00 00 00 F8 00 B2 00 AF 00 A6 00 00 01 17 00 01 99,3,100,0,25,0,248,178,175,166,256,23,0,1,153,94,False
2026-04-27 11:00:13.781,D5 5D 03 64 00 14 00 00 00 F7 00 B2 00 AF 00 A7 00 00 01 17 00 01 99,3,100,0,20,0,247,178,175,167,256,23,0,1,153,186,False
2026-04-27 11:00:13.903,D5 5D 03 64 00 15 00 00 00 F5 00 AF 00 B0 00 AC 00 00 01 17 00 01 99,3,100,0,21,0,245,175,176,172,256,23,0,1,153,31,False
2026-04-27 11:00:14.023,D5 5D 03 64 00 17 00 00 00 F7 00 B2 00 B0 00 AB 00 00 01 17 00 01 99,3,100,0,23,0,247,178,176,171,256,23,0,1,153,139,False
2026-04-27 11:00:14.262,D5 5D 03 64 00 17 00 00 00 FE 00 B2 00 B0 00 AC 00 00 01 17 00 01 99,3,100,0,23,0,254,178,176,172,256,23,0,1,153,11,False
2026-04-27 11:00:14.383,D5 5D 03 64 00 16 00 00 00 F8 00 B3 00 AF 00 AC 00 00 01 17 00 01 99,3,100,0,22,0,248,179,175,172,256,23,0,1,153,216,False
2026-04-27 11:00:14.503,D5 5D 03 64 00 16 00 00 00 F6 00 B3 00 AF 00 AB 00 00 01 17 00 01 99,3,100,0,22,0,246,179,175,171,256,23,0,1,153,156,False
2026-04-27 11:00:14.623,D5 5D 03 64 00 19 00 00 00 F9 00 B3 00 B1 00 AC 00 00 01 17 00 01 99,3,100,0,25,0,249,179,177,172,256,23,0,1,153,162,False
2026-04-27 11:00:14.742,D5 5D 03 64 00 12 00 00 00 F2 00 B2 00 AF 00 AB 00 00 01 17 00 01 99,3,100,0,18,0,242,178,175,171,256,23,0,1,153,115,False
2026-04-27 11:00:14.983,D5 5D 03 64 00 17 00 00 00 FB 00 B2 00 AF 00 A9 00 00 01 17 00 01 99,3,100,0,23,0,251,178,175,169,256,23,0,1,153,54,False
2026-04-27 11:00:15.104,D5 5D 03 64 00 1D 00 00 00 F7 00 B2 00 B0 00 A8 00 00 01 17 00 01 99,3,100,0,29,0,247,178,176,168,256,23,0,1,153,6,False
2026-04-27 11:00:15.223,D5 5D 03 64 00 16 00 00 00 F9 00 B2 00 AF 00 A8 00 00 01 17 00 01 99,3,100,0,22,0,249,178,175,168,256,23,0,1,153,229,False
2026-04-27 11:00:15.343,D5 5D 03 64 00 18 00 00 00 FA 00 B2 00 B0 00 AA 00 00 01 17 00 01 99,3,100,0,24,0,250,178,176,170,256,23,0,1,153,243,False
2026-04-27 11:00:15.463,D5 5D 03 64 00 1E 00 00 00 F9 00 B2 00 B0 00 AA 00 00 01 17 00 01 99,3,100,0,30,0,249,178,176,170,256,23,0,1,153,250,False
2026-04-27 11:00:15.704,D5 5D 03 64 00 17 00 00 00 FA 00 B4 00 B0 00 AE 00 00 01 17 00 01 99,3,100,0,23,0,250,180,176,174,256,23,0,1,153,110,False
2026-04-27 11:00:15.823,D5 5D 03 64 00 14 00 00 00 F0 00 AF 00 B1 00 AD 00 00 01 17 00 01 99,3,100,0,20,0,240,175,177,173,256,23,0,1,153,189,False
2026-04-27 11:00:15.941,D5 5D 03 64 00 13 00 00 00 F8 00 B3 00 B0 00 AF 00 00 01 17 00 01 99,3,100,0,19,0,248,179,176,175,256,23,0,1,153,182,False
2026-04-27 11:00:16.063,D5 5D 03 64 00 1B 00 00 00 F1 00 B2 00 AF 00 AF 00 00 01 17 00 01 99,3,100,0,27,0,241,178,175,175,256,23,0,1,153,209,False
2026-04-27 11:00:16.183,D5 5D 03 64 00 19 00 00 00 FC 00 B2 00 B0 00 AE 00 00 01 17 00 01 99,3,100,0,25,0,252,178,176,174,256,23,0,1,153,142,False
2026-04-27 11:00:16.302,D5 5D 03 64 00 16 00 00 00 F9 00 B3 00 AF 00 AC 00 00 01 17 00 01 99,3,100,0,22,0,249,179,175,172,256,23,0,1,153,244,False
2026-04-27 11:00:16.422,D5 5D 03 64 00 14 00 00 00 F3 00 B3 00 AF 00 AC 00 00 01 17 00 01 99,3,100,0,20,0,243,179,175,172,256,23,0,1,153,57,False
2026-04-27 11:00:16.544,D5 5D 03 64 00 1B 00 00 00 F8 00 B0 00 B1 00 AB 00 00 01 17 00 01 99,3,100,0,27,0,248,176,177,171,256,23,0,1,153,172,False
2026-04-27 11:00:16.902,D5 5D 03 64 00 12 00 00 00 F8 00 B2 00 AF 00 AC 00 00 01 17 00 01 99,3,100,0,18,0,248,178,175,172,256,23,0,1,153,135,False
2026-04-27 11:00:17.023,D5 5D 03 64 00 19 00 00 00 F3 00 B3 00 AF 00 AC 00 00 01 17 00 01 99,3,100,0,25,0,243,179,175,172,256,23,0,1,153,161,False
2026-04-27 11:00:17.141,D5 5D 03 64 00 18 00 00 00 F3 00 B2 00 B0 00 AD 00 00 01 17 00 01 99,3,100,0,24,0,243,178,176,173,256,23,0,1,153,115,False
2026-04-27 11:00:17.263,D5 5D 03 64 00 13 00 00 00 F4 00 B3 00 B0 00 AC 00 00 01 17 00 01 99,3,100,0,19,0,244,179,176,172,256,23,0,1,153,93,False
2026-04-27 11:00:17.383,D5 5D 03 64 00 17 00 00 00 F1 00 B2 00 AF 00 AC 00 00 01 17 00 01 99,3,100,0,23,0,241,178,175,172,256,23,0,1,153,33,False
2026-04-27 11:00:17.623,D5 5D 03 64 00 10 00 00 00 F7 00 B2 00 B0 00 AD 00 00 01 17 00 01 99,3,100,0,16,0,247,178,176,173,256,23,0,1,153,128,False
